gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
4022083043	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252613317/original.jpg	https://www.inaturalist.org/photos/252613317					2022-04-23T21:28:15Z	Roger Raiche		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Roger Raiche
4022057308	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/34305003/original.jpg	https://www.inaturalist.org/photos/34305003					2019-04-06T05:03:19Z	scincus		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	scincus
4022057308	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/34305010/original.jpg	https://www.inaturalist.org/photos/34305010					2019-04-06T05:03:19Z	scincus		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	scincus
4022048063	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252607777/original.jpeg	https://www.inaturalist.org/photos/252607777					2023-01-18T18:33:22Z	Cricket Raspet		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Cricket Raspet
4022028032	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252591851/original.jpg	https://www.inaturalist.org/photos/252591851					2023-01-19T00:09:11Z	Kyle Aldinger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kyle Aldinger
4022020753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252437686/original.jpg	https://www.inaturalist.org/photos/252437686					2023-01-17T19:47:21Z	aidanjmcilvery		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	aidanjmcilvery
4022020753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252437698/original.jpg	https://www.inaturalist.org/photos/252437698					2023-01-17T19:47:21Z	aidanjmcilvery		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	aidanjmcilvery
4022006348	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/128402591/original.jpg	https://www.inaturalist.org/photos/128402591					2021-05-04T13:34:59Z	Michael Nerrie		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Michael Nerrie
4021997590	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/232472346/original.jpg	https://www.inaturalist.org/photos/232472346					2021-08-18T02:12:00Z	Morgan Manderfield		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Morgan Manderfield
4021977728	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252815290/original.jpeg	https://www.inaturalist.org/photos/252815290					2023-01-20T18:59:18Z	Henry		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Henry
4021965612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252844193/original.jpeg	https://www.inaturalist.org/photos/252844193					2023-01-19T01:06:08Z	Alex Karasoulos		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alex Karasoulos
4021965612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252843125/original.jpeg	https://www.inaturalist.org/photos/252843125					2023-01-19T01:06:08Z	Alex Karasoulos		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Alex Karasoulos
4021951937	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252703682/original.jpeg	https://www.inaturalist.org/photos/252703682					2023-01-19T18:23:31Z	Tom Walker		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tom Walker
4021951612	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/242084684/original.jpeg	https://www.inaturalist.org/photos/242084684					2022-11-07T02:22:52Z	wilkey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	wilkey
4020816440	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=7d286fca-954a-4aa3-bd72-fb5ef12c6322											
4020816440	StillImage	image/jpeg	https://images.ala.org.au/image/proxyImageThumbnailLarge?imageId=74a10f7b-68bb-4630-a4e6-76d7911371ce											
4018589237	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252167864/original.jpg	https://www.inaturalist.org/photos/252167864					2023-01-15T01:55:45Z	Patrick Radsliff		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Patrick Radsliff
4018589237	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252166594/original.jpg	https://www.inaturalist.org/photos/252166594					2023-01-15T01:55:45Z	Patrick Radsliff		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Patrick Radsliff
4018581713	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241898885/original.jpg	https://www.inaturalist.org/photos/241898885					2022-11-05T20:02:36Z	Sus scrofa		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sus scrofa
4018581713	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/241898859/original.jpg	https://www.inaturalist.org/photos/241898859					2022-11-05T20:02:36Z	Sus scrofa		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Sus scrofa
4018579710	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/237478559/original.jpeg	https://www.inaturalist.org/photos/237478559					2022-10-15T22:54:51Z	brooklyn02332		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	brooklyn02332
4018573836	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/251250903/original.jpg	https://www.inaturalist.org/photos/251250903					2023-01-09T02:54:05Z	Chloe and Trevor Van Loon		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Chloe and Trevor Van Loon
4018424440	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252358478/original.jpg	https://www.inaturalist.org/photos/252358478					2023-01-17T04:53:14Z	chjars		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	chjars
4018402379	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252275901/original.jpg	https://www.inaturalist.org/photos/252275901					2023-01-16T16:26:10Z	Brooks Oakley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Brooks Oakley
4018321375	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/252301685/original.jpeg	https://www.inaturalist.org/photos/252301685					2023-01-16T23:02:18Z	donnakurk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	donnakurk
4018295746	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/244562072/original.jpg	https://www.inaturalist.org/photos/244562072					2022-11-22T21:50:46Z	ccashore		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ccashore
4018295746	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/244563116/original.jpg	https://www.inaturalist.org/photos/244563116					2022-11-22T21:50:46Z	ccashore		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ccashore
